2014-10-06 10:17:44,964 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -446, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,025 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -460, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,025 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -163, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,025 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -225, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,025 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -167, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,025 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -658, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,025 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -317, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,025 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -933, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,025 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -151, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,026 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -93, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,026 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -93, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,026 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -386, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,026 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -799, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,026 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -538, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,026 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -104, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,026 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -700, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,026 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -771, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,026 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -84, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,026 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -439, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,026 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -190, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,026 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -92, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,026 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -165, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,027 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -454, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,027 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -293, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,027 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -925, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,027 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -141, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,027 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -542, soft0Score: 20681, soft1Score: -8119
